2024-07-05 20:40:37 INFO  TestBase:90 - Finding an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(2) div div:nth-child(2) div div i
2024-07-05 20:40:37 INFO  TestBase:96 - Found an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(2) div div:nth-child(2) div div i
2024-07-05 20:41:57 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:41:59 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:41:59 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:41:59 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 20:42:00 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:42:00 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:42:00 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 20:42:00 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:42:07 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:42:07 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:42:07 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:42:10 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:42:10 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:42:13 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:42:13 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:42:13 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:42:19 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:42:19 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:47:08 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:47:10 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:47:11 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:47:11 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 20:47:12 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:47:12 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:47:12 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 20:47:12 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:47:12 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:47:15 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:47:15 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:47:15 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:47:17 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:47:17 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:47:17 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:47:17 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:47:17 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:47:17 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:47:17 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:47:17 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:47:17 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:47:17 INFO  TestBase:90 - Finding an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(1) div div:nth-child(2) div div input
2024-07-05 20:47:17 INFO  TestBase:96 - Found an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(1) div div:nth-child(2) div div input
